"x" "y" "z"
-179.450609 11.228337 38.480193
-184.386322 15.38966 34.092246
-189.20346 14.854578 31.045605
-179.751697 19.65658 35.069035
-173.689873 23.252713 36.205219
-179.71569 25.041517 31.275558
-186.146979 25.221001 26.171012
-179.219455 28.500901 28.580485
-181.562578 29.862522 24.65321
-184.568579 30.391402 20.875937
-189.079124 29.123311 17.612895
-181.956878 33.410122 18.117458
-180.248637 35.475485 14.580498
-176.500864 37.868589 11.360846
-180.877624 36.042405 9.430064
-175.052435 39.037997 6.21414
-176.252022 38.133768 2.849872
-171.270817 40.29187 0.749963
-178.619131 36.166521 -1.216814
-180.91323 33.717628 -5.795481
-185.17432 29.901277 -8.110807
-166.020099 39.299066 -11.008615
-168.871186 35.925343 -14.811856
-170.143506 33.059853 -18.255342
-184.104902 26.126986 -14.881478
-178.81837 25.487493 -20.185231
-176.374832 24.622321 -22.719472
-178.608932 16.525072 -26.817458
-171.31303 22.437183 -28.2382
-175.638498 14.966557 -29.389983
-181.310675 8.857454 -27.806936
-169.138972 14.279312 -33.813917
-174.160471 10.533286 -32.045304
-165.095882 5.466338 -38.602225
-185.30247 0.936347 -26.142427
-171.188387 2.954131 43.768972
-175.152883 4.966023 41.793437
-170.897993 8.788069 43.193276
-172.064532 12.73725 41.607635
-174.525184 15.16939 39.612666
-168.73852 18.556837 41.026408
-167.137548 24.715584 38.384006
-171.33299 20.823177 38.762305
-169.354208 27.186209 35.611038
-176.624421 24.53093 33.586314
-173.740446 29.70112 30.916982
-173.043431 32.664677 27.823743
-176.367476 32.584714 25.452218
-177.908977 33.985489 21.82884
-174.779694 36.902111 18.878682
-173.909364 38.371404 15.399307
-169.242749 40.883786 12.568929
-170.388531 40.81217 8.894027
-161.852894 44.61627 4.721593
-167.925809 42.049018 5.21698
-165.72485 42.64152 1.025782
-174.552844 37.687902 -3.588386
-174.22134 36.649969 -7.577261
-178.414973 32.932982 -10.097865
-162.367661 39.398885 -14.690341
-163.820812 36.566446 -18.38361
-164.555522 33.632899 -22.138852
-176.894072 29.403568 -17.350563
-169.168016 28.700351 -24.177195
-174.286366 22.866586 -25.70825
-166.250991 24.596446 -30.092237
-165.197109 20.972954 -33.032913
-170.759021 18.092858 -31.178462
-162.588347 12.812043 -38.557965
-167.058947 10.555052 -36.425963
-171.531659 6.692622 -34.452409
-160.641786 7.509694 -40.848077
-169.265378 2.289577 -36.488165
-164.18697 -0.5183 46.598527
-167.629015 3.032779 45.247501
-164.476572 6.82344 46.106009
-167.269127 10.044183 44.473334
-167.144543 15.735298 42.777952
-163.486842 14.605967 44.640578
-163.897548 23.546252 40.554827
-160.111987 27.99078 39.101739
-163.34815 29.339178 36.594514
-170.50803 29.380831 32.803991
-164.305281 31.788885 33.736693
-166.125453 33.955482 30.534759
-168.74105 36.975906 24.355361
-171.194561 36.941683 22.259427
-164.262792 40.607306 20.408696
-168.233815 39.942174 18.196624
-165.089044 42.136022 14.693479
-163.487163 43.643544 9.27524
-151.25512 48.083129 10.401607
-157.005421 46.429233 7.900324
-158.23704 45.884556 0.705186
-161.866351 43.943894 -2.715466
-161.386422 43.205308 -6.578366
-167.848023 39.907961 -7.518849
-157.110507 41.102532 -16.738607
-158.619313 38.02484 -20.623093
-154.395198 38.453142 -23.285632
-171.173177 30.157084 -21.165961
-161.027782 30.153957 -28.674558
-165.998439 28.659081 -26.601808
-160.43405 26.761945 -32.031391
-159.325089 23.664674 -35.157849
-153.874795 19.934032 -40.451288
-163.725656 17.552977 -35.876352
-152.627374 15.054489 -43.097053
-155.696241 8.990925 -43.301464
-151.303465 8.752481 -45.531975
-162.036366 0.641783 -40.694964
-156.512506 1.929849 49.208583
-161.248931 2.804224 47.650224
-159.165455 7.092055 47.983691
-161.320896 11.1486 46.440095
-157.799544 14.923041 46.561996
-159.291987 18.998211 44.6335
-162.440958 20.249082 42.791735
-158.122456 24.945278 41.937301
-154.298211 29.813908 40.181534
-156.941242 32.155804 36.86613
-158.238891 34.504489 33.912541
-159.96447 36.280131 30.989672
-160.006399 38.570972 27.68515
-162.672784 39.205646 24.865095
-158.961796 42.052141 21.90557
-159.769721 43.492696 17.048472
-154.285286 46.227858 14.355027
